TRAJECTORY;ASTAGarageSquare_ego;0.1;1809;;;;;;;
LINE;1.62;26.52;104.48;0.01; 5.07;  3.41;   2.12;    0.00;0;ENDLINE
LINE;1.63;26.54;104.45;0.01; 5.07;  3.43;   2.12;    0.00;0;ENDLINE
LINE;1.64;26.55;104.41;0.01; 5.07;  3.46;   2.12;    0.00;0;ENDLINE
LINE;1.65;26.56;104.38;0.01; 5.07;  3.48;   2.12;    0.00;0;ENDLINE
LINE;1.66;26.57;104.35;0.01; 5.07;  3.50;   2.12;    0.00;0;ENDLINE
LINE;1.67;26.59;104.32;0.01; 5.07;  3.52;   2.12;    0.00;0;ENDLINE
LINE;1.68;26.60;104.28;0.01; 5.07;  3.54;   2.12;    0.00;0;ENDLINE
LINE;1.69;26.61;104.25;0.01; 5.07;  3.56;   2.12;    0.00;0;ENDLINE
LINE;1.70;26.62;104.22;0.01; 5.07;  3.58;   2.12;    0.00;0;ENDLINE
LINE;1.71;26.64;104.18;0.01; 5.07;  3.60;   2.12;    0.00;0;ENDLINE
LINE;1.72;26.65;104.15;0.01; 5.07;  3.62;   2.12;    0.00;0;ENDLINE
LINE;1.73;26.66;104.12;0.01; 5.07;  3.65;   2.12;    0.00;0;ENDLINE
LINE;1.74;26.67;104.08;0.01; 5.07;  3.67;   2.12;    0.00;0;ENDLINE
LINE;1.75;26.69;104.05;0.01; 5.07;  3.69;   2.12;    0.00;0;ENDLINE
LINE;1.76;26.70;104.01;0.01; 5.07;  3.71;   2.12;    0.00;0;ENDLINE
LINE;1.77;26.71;103.98;0.01; 5.07;  3.73;   2.12;    0.00;0;ENDLINE
LINE;1.78;26.73;103.94;0.01; 5.07;  3.75;   2.12;    0.00;0;ENDLINE
LINE;1.79;26.74;103.91;0.01; 5.07;  3.77;   2.12;    0.00;0;ENDLINE
LINE;1.80;26.75;103.87;0.01; 5.07;  3.79;   2.12;    0.00;0;ENDLINE
LINE;1.81;26.77;103.84;0.01; 5.07;  3.82;   2.12;    0.00;0;ENDLINE
LINE;1.82;26.78;103.80;0.01; 5.07;  3.84;   2.12;    0.00;0;ENDLINE
LINE;1.83;26.79;103.76;0.01; 5.07;  3.86;   2.12;    0.00;0;ENDLINE
LINE;1.84;26.81;103.73;0.01; 5.07;  3.88;   2.12;    0.00;0;ENDLINE
LINE;1.85;26.82;103.69;0.01; 5.07;  3.90;   2.12;    0.00;0;ENDLINE
LINE;1.86;26.83;103.66;0.01; 5.07;  3.92;   2.12;    0.00;0;ENDLINE
