TRAJECTORY;ASTAGarageSquare_fellow_3;0.1;1809;;;;;;;
LINE;2.28;23.74;100.53;0.00; 5.07;  4.81;   2.11;    0.00;0;ENDLINE
LINE;2.29;23.76;100.49;0.00; 5.07;  4.83;   2.11;    0.00;0;ENDLINE
LINE;2.30;23.77;100.44;0.00; 5.07;  4.85;   2.11;    0.00;0;ENDLINE
LINE;2.31;23.79;100.39;0.00; 5.07;  4.87;   2.11;    0.00;0;ENDLINE
LINE;2.32;23.81;100.35;0.00; 5.07;  4.89;   2.11;    0.00;0;ENDLINE
LINE;2.33;23.82;100.30;0.00; 5.07;  4.91;   2.11;    0.00;0;ENDLINE
LINE;2.34;23.84;100.26;0.00; 5.07;  4.93;   2.11;    0.00;0;ENDLINE
LINE;2.35;23.86;100.21;0.00; 5.07;  4.96;   2.11;    0.00;0;ENDLINE
LINE;2.36;23.88;100.16;0.00; 5.07;  4.98;   2.11;    0.00;0;ENDLINE
LINE;2.37;23.89;100.12;0.00; 5.07;  5.00;   2.11;    0.00;0;ENDLINE
LINE;2.38;23.91;100.07;0.00; 5.07;  5.02;   2.11;    0.00;0;ENDLINE
LINE;2.39;23.93;100.02;0.00; 5.07;  5.04;   2.11;    0.00;0;ENDLINE
LINE;2.40;23.95;99.98;0.00; 5.07;  5.06;   2.11;    0.00;0;ENDLINE
LINE;2.41;23.97;99.93;0.00; 5.07;  5.08;   2.11;    0.00;0;ENDLINE
LINE;2.42;23.98;99.88;0.00; 5.07;  5.10;   2.11;    0.00;0;ENDLINE
LINE;2.43;24.00;99.83;0.00; 5.07;  5.12;   2.11;    0.00;0;ENDLINE
LINE;2.44;24.02;99.79;0.00; 5.07;  5.15;   2.11;    0.00;0;ENDLINE
LINE;2.45;24.04;99.74;0.00; 5.07;  5.17;   2.11;    0.00;0;ENDLINE
LINE;2.46;24.06;99.69;0.00; 5.07;  5.19;   2.10;    0.00;0;ENDLINE
LINE;2.47;24.08;99.64;0.00; 5.07;  5.21;   2.10;    0.00;0;ENDLINE
LINE;2.48;24.09;99.59;0.00; 5.07;  5.23;   2.10;    0.00;0;ENDLINE
LINE;2.49;24.11;99.54;0.00; 5.07;  5.25;   2.10;    0.00;0;ENDLINE
LINE;2.50;24.13;99.49;0.00; 5.07;  5.27;   2.10;    0.00;0;ENDLINE
LINE;2.51;24.15;99.44;0.00; 5.07;  5.29;   2.10;    0.00;0;ENDLINE
LINE;2.52;24.17;99.39;0.00; 5.07;  5.31;   2.10;    0.00;0;ENDLINE
LINE;2.53;24.19;99.34;0.00; 5.07;  5.33;   2.09;    0.00;0;ENDLINE
LINE;2.54;24.21;99.29;0.00; 5.07;  5.36;   2.03;    0.00;0;ENDLINE
LINE;2.55;24.22;99.24;0.00; 5.07;  5.38;   1.90;    0.00;0;ENDLINE
LINE;2.56;24.24;99.19;0.00; 5.07;  5.39;   1.72;    0.00;0;ENDLINE
LINE;2.57;24.26;99.14;0.00; 5.07;  5.41;   1.56;    0.00;0;ENDLINE
LINE;2.58;24.28;99.09;0.00; 5.07;  5.43;   1.40;    0.00;0;ENDLINE
LINE;2.59;24.30;99.04;0.00; 5.07;  5.44;   1.23;    0.00;0;ENDLINE
LINE;2.60;24.32;98.99;0.00; 5.07;  5.45;   1.08;    0.00;0;ENDLINE
LINE;2.61;24.34;98.94;0.00; 5.07;  5.46;   0.96;    0.00;0;ENDLINE
LINE;2.62;24.36;98.89;0.00; 5.07;  5.47;   0.87;    0.00;0;ENDLINE
LINE;2.63;24.38;98.84;0.00; 5.07;  5.48;   0.78;    0.00;0;ENDLINE
LINE;2.64;24.40;98.79;0.00; 5.07;  5.49;   0.72;    0.00;0;ENDLINE
LINE;2.65;24.42;98.73;0.00; 5.07;  5.50;   0.67;    0.00;0;ENDLINE
LINE;2.66;24.44;98.68;0.00; 5.07;  5.50;   0.63;    0.00;0;ENDLINE
LINE;2.67;24.46;98.63;0.00; 5.07;  5.51;   0.59;    0.00;0;ENDLINE
LINE;2.68;24.48;98.58;0.00; 5.07;  5.52;   0.55;    0.00;0;ENDLINE
LINE;2.69;24.50;98.53;0.00; 5.07;  5.52;   0.52;    0.00;0;ENDLINE
LINE;2.70;24.51;98.48;0.00; 5.07;  5.53;   0.48;    0.00;0;ENDLINE
LINE;2.71;24.53;98.42;0.00; 5.07;  5.53;   0.46;    0.00;0;ENDLINE
LINE;2.72;24.55;98.37;0.00; 5.07;  5.54;   0.44;    0.00;0;ENDLINE
LINE;2.73;24.57;98.32;0.00; 5.07;  5.54;   0.42;    0.00;0;ENDLINE
LINE;2.74;24.59;98.27;0.00; 5.07;  5.55;   0.40;    0.00;0;ENDLINE
LINE;2.75;24.61;98.22;0.00; 5.07;  5.55;   0.39;    0.00;0;ENDLINE
LINE;2.76;24.63;98.17;0.00; 5.07;  5.55;   0.38;    0.00;0;ENDLINE
LINE;2.77;24.65;98.11;0.00; 5.07;  5.56;   0.36;    0.00;0;ENDLINE
LINE;2.78;24.67;98.06;0.00; 5.07;  5.56;   0.35;    0.00;0;ENDLINE
LINE;2.79;24.69;98.01;0.00; 5.07;  5.56;   0.34;    0.00;0;ENDLINE
LINE;2.80;24.71;97.96;0.00; 5.07;  5.57;   0.33;    0.00;0;ENDLINE
LINE;2.81;24.73;97.91;0.00; 5.07;  5.57;   0.32;    0.00;0;ENDLINE
